family,size_label,label,task,width_multiplier,depth_multiplier,nmse,latency_ms,macs_g,params_m,checkpoint
strujepa_size,little,w0.125_d0.5,temporal,0.125,0.5,0.3615876311361789,2.013418401777744,0.005603328,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.125_d0.5,fre,0.125,0.5,0.3273114372938871,2.0196491941809653,0.005603328,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w1_d0.166667,temporal,1.0,0.166667,0.35420374181866643,1.7560995995998383,0.014942208,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w1_d0.166667,fre,1.0,0.166667,0.31095634430646896,1.761886392533779,0.014942208,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.5_d0.166667,temporal,0.5,0.166667,0.3710209070146084,1.7543956011533737,0.007471104,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.5_d0.166667,fre,0.5,0.166667,0.3182907442301512,1.7632148057222365,0.007471104,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.125_d0.166667,temporal,0.125,0.166667,0.38147522261738775,1.7576699882745743,0.001867776,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,little,w0.125_d0.166667,fre,0.125,0.166667,0.3368250353336334,1.7601635962724687,0.001867776,1.396992,/home/users/dky/StruJEPA/runs/wifo_little_strujepa_gpu1_anchor_random_20260413_103234/strujepa_wifo_last.pt
strujepa_size,tiny,w1_d1,temporal,1.0,1.0,0.35805862599611277,2.2085872024297712,0.025952256,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w1_d1,fre,1.0,1.0,0.36693380270898346,2.225597992539406,0.025952256,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.5_d1,temporal,0.5,1.0,0.3834837233573198,2.249092400074005,0.012976128,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.5_d1,fre,0.5,1.0,0.39644327758252623,2.2542127937078478,0.012976128,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.125_d1,temporal,0.125,1.0,0.43228208595514295,2.2580820113420486,0.003244032,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.125_d1,fre,0.125,1.0,0.4171825436353684,2.267539992928505,0.003244032,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w1_d0.5,temporal,1.0,0.5,0.39857584550976755,1.8779423996806144,0.012976128,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w1_d0.5,fre,1.0,0.5,0.39739523246884345,1.8801367938518525,0.012976128,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.5_d0.5,temporal,0.5,0.5,0.4097888899147511,1.89098359644413,0.006488064,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.5_d0.5,fre,0.5,0.5,0.4069971954524517,1.899197193980217,0.006488064,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.125_d0.5,temporal,0.125,0.5,0.4565025010108948,1.897311194241047,0.001622016,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.125_d0.5,fre,0.125,0.5,0.4275833466351032,1.9046447947621346,0.001622016,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w1_d0.166667,temporal,1.0,0.166667,0.43349701818823816,1.6278352037072181,0.004325376,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w1_d0.166667,fre,1.0,0.166667,0.4145619311332703,1.6839135974645614,0.004325376,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.5_d0.166667,temporal,0.5,0.166667,0.45824706423282624,1.6400067999958992,0.002162688,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.5_d0.166667,fre,0.5,0.166667,0.42622215336561203,1.643913197517395,0.002162688,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.125_d0.166667,temporal,0.125,0.166667,0.47096890127658847,1.6335431963205338,0.000540672,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
strujepa_size,tiny,w0.125_d0.166667,fre,0.125,0.166667,0.43853896538913245,1.6472639933228492,0.000540672,0.366784,/home/users/dky/StruJEPA/runs/wifo_tiny_strujepa_gpu1_anchor_random_20260413_111721/strujepa_wifo_last.pt
